Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Renault,MASTER,114 390 PLN,Łuków,Lubelskie,2020,592 983 km,Diesel,2 299 cm3
Peugeot,BOXER,55 900 PLN,Płock,Mazowieckie,2016,237 000 km,Diesel,2 198 cm3
Renault,MASTER BRYGADOWKA DOKA 6 OSOBOWA,154 980 PLN,Zamarski,Śląskie,2020,33 000 km,Diesel,2 300 cm3
Renault,MASTER 9 OSOBOWY VIP!!VIP!!,138 000 PLN,Zamarski,Śląskie,2019,35 000 km,Diesel,2 300 cm3
Renault,TRAFIC BRYGADÓWKA + 6 OSÓB,87 777 PLN,Wilkowice,Wielkopolskie,2019,128 000 km,Diesel,1 997 cm3
Volkswagen,Crafter,110 700 PLN,Kraków,Małopolskie,2014,244 000 km,Diesel,1 968 cm3
Opel,vivaro,59 655 PLN,Sobków,Świętokrzyskie,2017,107 000 km,2017,Diesel
Citroën,Jumpy XL LONG gwarancja nawigacja klima tempomat,97 047 PLN,Suchy Las,Wielkopolskie,2019,76 710 km,Diesel,2 000 cm3
Fiat,Ducato,44 900 PLN,Narama,Małopolskie,2004,294 000 km,2004,Diesel
Peugeot,Boxer,69 900 PLN,Warszawa,Mazowieckie,2016,184 000 km,Diesel,2 198 cm3
Fiat,Elnagh,67 650 PLN,Radom,Mazowieckie,2016,35 077 km,Diesel,2 287 cm3
Peugeot,Boxer L3H2 140KM,151 903 PLN,Chorzów,Śląskie,2022,1 km,Diesel,2 179 cm3
Volkswagen,Transporter T6,42 900 PLN,Kościerzyna,Pomorskie,2012,250 000 km,Diesel,1 968 cm3
Iveco,Daily,27 060 PLN,Kraśnik,Lubelskie,2004,492 200 km,Diesel,2 286 cm3
Fiat,DUCATO,65 900 PLN,Płock,Mazowieckie,2017,239 000 km,Diesel,2 300 cm3
Iveco,Daily 35S18 Kontener 8EP Mroźnia 180KM,230 008 PLN,Chorzów,Śląskie,2023,1 km,Diesel,2 998 cm3
