Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Piaggio,Vespa,17 990 PLN,Tarnowskie Góry,Śląskie,Niski przebieg,2017,248 cm3,8 000 km
Cagiva Raptor,,10 500 PLN,Podzagnańszcze,Świętokrzyskie,Niski przebieg,2006,650 cm3,20 545 km
Ducati,Monster,35 900 PLN,Reda,Pomorskie,2017,13 000 km,2017,Benzyna
Yamaha,MT,25 500 PLN,Jonkowo,Warmińsko-mazurskie,2022,941 km,Benzyna,125 cm3
Kawasaki,ZR,4 999 PLN,Warszawa,Mazowieckie,Niski przebieg,2003,739 cm3,62 943 km
BMW,G,25 500 PLN,Warszawa,Mazowieckie,2023,313 cm3,2023,Benzyna
Honda,CTX,37 500 PLN,Kamieniec Ząbkowicki,Dolnośląskie,2014,28 900 km,2014,Benzyna
Yamaha,FJR,44 400 PLN,Dęblin,Lubelskie,2018,63 690 km,2018,Benzyna
Honda,Shadow,15 500 PLN,Brzozów,Podkarpackie,Niski przebieg,2001,125 cm3,13 734 km
BMW,XR,52 900 PLN,Warszawa,Mazowieckie,2021,8 908 km,Benzyna,900 cm3
Suzuki,SV,14 500 PLN,Warszawa,Mazowieckie,Niski przebieg,2005,1 000 cm3,23 543 km
CF Moto,,25 879 PLN,Chotomów,Mazowieckie,2022,1 km,Benzyna,693 cm3
Yamaha,Drag Star,27 500 PLN,Gorzyce,Śląskie,Niski przebieg,2009,1 100 cm3,8 238 km
Suzuki,GSR,21 000 PLN,Olszowiec,Lubelskie,Niski przebieg,2015,749 cm3,25 395 km
Suzuki,V-STROM,71 900 PLN,Warszawa,Mazowieckie,2022,1 km,Benzyna,1 037 cm3
Suzuki,GSX,55 900 PLN,Warszawa,Mazowieckie,2022,1 km,Benzyna,999 cm3
Suzuki,GSX,55 900 PLN,Warszawa,Mazowieckie,2022,1 km,Benzyna,999 cm3
Suzuki,GSX,55 900 PLN,Warszawa,Mazowieckie,2022,1 km,Benzyna,999 cm3
Suzuki,V-STROM,43 900 PLN,Warszawa,Mazowieckie,2022,1 km,Benzyna,645 cm3
Suzuki,V-STROM,39 900 PLN,Warszawa,Mazowieckie,2022,1 km,Benzyna,645 cm3
Suzuki,V-STROM,39 900 PLN,Warszawa,Mazowieckie,2022,1 km,Benzyna,645 cm3
Suzuki,V-STROM,39 900 PLN,Warszawa,Mazowieckie,2022,1 km,Benzyna,645 cm3
