Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Mercedes-Benz,ATEGO 1329L,131 610 PLN,Jasienica Dolna,Opolskie,2010,316 000 km,Diesel,6 374 cm3
MAN,TGX 18.460 BLS Standard/Retarder,79 827 EUR,Sady,Wielkopolskie,2019,434 277 km,Diesel,12 419 cm3
Scania,R450 NG,369 000 PLN,Mońki,Podlaskie,2019,217 000 km,Diesel,13 000 cm3
Iveco,Eurocargo 120E21 E6 HDS / Wywrotka / Bortmatic / Pilot / 150 tys.km !!,344 400 PLN,Kraków,Małopolskie,2016,150 000 km,2016,Diesel
DAF,CF460 ATLAS 170.2,199 900 PLN,Chełm,Lubelskie,2012,380 000 km,2012,Diesel
DAF,XF460SSC,185 900 PLN,Chełm,Lubelskie,2017,404 000 km,Diesel,12 902 cm3
MAN,12.250 TGL,208 977 PLN,Chełm,Lubelskie,2017,300 000 km,2017,Diesel
MAN,26.440 TGX Palfinger PK1800I L,176 900 PLN,Chełm,Lubelskie,2011,830 000 km,2011,Diesel
MAN,18.460 TGX 4X4 HYDRO DRIVE,199 900 PLN,Chełm,Lubelskie,2017,420 000 km,2017,Diesel
Iveco,Eurocargo 120E21 E6 HDS / Wywrotka / Bortmatic / Pilot / 150 tys.km !!,344 400 PLN,Kraków,Małopolskie,2016,150 000 km,2016,Diesel
Volvo,FH13 440 KM,75 030 PLN,Raniżów,Podkarpackie,2007,1 100 000 km,2007,Diesel
Iveco,Eurocargo,541 200 PLN,Kobylanka,Zachodniopomorskie,2022,5 km,2022,Diesel
Volvo,FH4 500,325 950 PLN,Nowa Wieś,Wielkopolskie,2017,567 500 km,Diesel,12 777 cm3
Schmitz,,47 000 EUR,Nowy Dwór Mazowiecki,Mazowieckie,2019,10 km,2019,Diesel
Scania,R450 Topline,196 000 PLN,Mońki,Podlaskie,2016,664 000 km,Diesel,13 000 cm3
MAN,TGX 18.460 LLS_U Mega Retarder,67 035 EUR,Sady,Wielkopolskie,2018,472 663 km,Diesel,12 419 cm3
Renault,T 480 High Cab,299 874 PLN,Karpin,Mazowieckie,2019,597 005 km,Diesel,12 777 cm3
Iveco,Eurocargo ML 120E22,218 940 PLN,Zator,Małopolskie,2011,170 825 km,Diesel,5 880 cm3
MAN,TGX 18.460,129 150 PLN,Kutno,Łódzkie,2018,423 956 km,Diesel,12 419 cm3
DAF,XF 106 460 KM,104 900 PLN,Mońki,Podlaskie,2014,865 843 km,2014,Diesel
DAF,XF 106.460 FT,116 850 PLN,Szczecin,Zachodniopomorskie,2014,946 250 km,Diesel,12 902 cm3
Scania,R410 ADR FL I właściciel,183 270 PLN,Łubiana,Pomorskie,2015,999 000 km,2015,Diesel
Volvo,FH,175 890 PLN,Czerwonka-Parcel,Mazowieckie,2015,1 056 778 km,Diesel,12 777 cm3
DAF,XF 106 FT,239 000 PLN,Olsztyn,Warmińsko-mazurskie,2018,454 554 km,Diesel,12 902 cm3
Mercedes-Benz,1848 LS Full ADR,280 440 PLN,Łubiana,Pomorskie,2017,570 000 km,2017,Diesel
Scania,R 450 Highline / Full LED / Spr z Niemiec,299 000 PLN,Gniezno,Wielkopolskie,2018,565 000 km,Diesel,12 742 cm3
Mercedes-Benz,Sprinter,329 950 PLN,Gdynia,Pomorskie,2016,219 000 km,Diesel,2 987 cm3
